school,ein,xml_file,name,title,comp_org,comp_related,comp_other
Duquesne University,251035663,/Users/jakecox/rstudio/990-scraper/990_XML/251035663.xml,KEITH DAMBROT,HEAD COACH MEN BASKETBALL,976396,0,316307
Hofstra University,111630906,/Users/jakecox/rstudio/990-scraper/990_XML/111630906.xml,Craig Claxton,Head Men's Basketball Coach,796549,0,114854
Loyola Marymount University,951643334,/Users/jakecox/rstudio/990-scraper/990_XML/951643334.xml,STANTON B JOHNSON III,MEN'S BASKETBALL COACH,1014920,0,86419
Loyola University Chicago,361408475,/Users/jakecox/rstudio/990-scraper/990_XML/361408475.xml,CARLTON VALENTINE,HEAD MEN'S BASKETBALL COACH,851023,0,68524
Marquette University,390806251,/Users/jakecox/rstudio/990-scraper/990_XML/390806251.xml,Mr Shaka Smart,Mens Basketball Head Coach,3973244,0,0
Mercer University,580566167,/Users/jakecox/rstudio/990-scraper/990_XML/580566167.xml,GREGORY GARY,HEAD MEN'S BASKETBALL COACH,315500,0,22425
Saint Louis University,430654872,/Users/jakecox/rstudio/990-scraper/990_XML/430654872.xml,TRAVIS S FORD,HEAD COACH-BASKETBALL,2772847,0,58718
Seattle University,910565006,/Users/jakecox/rstudio/990-scraper/990_XML/910565006.xml,Christopher Victor,"Head Coach, Men's Basketball",303854,0,48621
Seton Hall University,221500645,/Users/jakecox/rstudio/990-scraper/990_XML/221500645.xml,SHAHEEN HOLLOWAY,HEAD COACH MEN'S BASKETBALL,2132686,0,71886
St. John's University-New York,111630830,/Users/jakecox/rstudio/990-scraper/990_XML/111630830.xml,RICHARD A PITINO,HEAD COACH MEN'S BASKETBALL - BEGAN 3/19/23,2436491,0,55588
Syracuse University,150532081,/Users/jakecox/rstudio/990-scraper/990_XML/150532081.xml,JAMES BOEHEIM,BASKETBALL HEAD COACH,2609654,0,58323
University of San Diego,952544535,/Users/jakecox/rstudio/990-scraper/990_XML/952544535.xml,STEVEN LAVIN,"HEAD COACH, MEN'S BASKETBALL",945456,0,43601
University of San Francisco,941156628,/Users/jakecox/rstudio/990-scraper/990_XML/941156628.xml,Mr Gerlufsen,"Head Coach, Men's Baseketball",881873,0,51958
Butler University,350867977,/Users/jakecox/rstudio/990-scraper/990_XML/350867977.xml,Thad Matta,Men's Basketball Coach,2636040,0,53065
Georgetown University,530196603,/Users/jakecox/rstudio/990-scraper/990_XML/530196603.xml,Patrick A Ewing,Former Men's Basketball Coach,12549824,0,24617
Villanova University,231352688,/Users/jakecox/rstudio/990-scraper/990_XML/231352688.xml,MR KYLE A NEPTUNE,"COACH, MEN'S BASKETBALL",1736558,0,135060
DePaul University,362167048,/Users/jakecox/rstudio/990-scraper/990_XML/362167048.xml,MR ANTHONY STUBBLEFIELD,MEN'S HEAD BASKETBALL COACH,1528232,0,63273
